[00:30] 主導世界的國家是擁有大型的AI語言模型的國家公司。
[00:53] 這些公司尤其是和國家的觀念極其相關。
[00:58] 有些是和國家的觀念沒有關係,
[01:01] 但是它將成為全球的三大擁有AI的主導公司。
[01:09] 它分別是在禮拜五於美國成功IPO的SpaceX,
[01:17] 還有Anthropic,也即將IPO,還有OpenAI。
[01:25] 我們先來談SpaceX的完美IP首秀。
[01:30] 它的市值現在已經達到2.1兆美元,第一天IPO。
[01:35] 而Elon Musk成為首位,我們以前說billionaire,
[01:40] 更早叫millionaire百萬,後來叫billionaire,現在叫兆富豪。
[01:46] 一兆都上了富豪。
[01:49] 他的火星,人們相信他的未來不會是夢。
[01:53] 從天馬行空的構想到市值2兆美元,
[01:58] 這正是Elon Musk這個人很可能會給我們的非凡旅程之夢。
[02:06] 他起初也認為SpaceX成功的機率不到10%。
[02:12] 他這次特別提到大約25年前,他的大學室友,
[02:17] 當時他們共同創造了PayPal,
[02:22] 然後創造PayPal的時候,他就說,
[02:26] 你可不可以來弄一家火箭公司。
[02:29] 他們兩個人就開始研究,
[02:32] 如何把地球的植物生命送往火星。
[02:38] 所以一個人他不做夢,而且不做荒唐的夢,
[02:41] 非凡的夢,他就不會成為一個歷史性的人物。
[02:46] 那時候他們擁有5000萬美元的預算,
[02:49] 結果他們發現這個錢根本就不夠,
[02:52] 連一億顆紅豆種子都不夠。
[02:56] 於是Elon Musk就告訴他的朋友,最重要的還是火箭。
[03:01] SpaceX因此在想要上火星的過程當中,
[03:06] 成為了核心概念,因為火箭才是關鍵。
[03:11] 他是成功上市,成了全球規模最大的首次的公開發行,
[03:18] 也完成了史上規模最大也最順利的IPO之一。
[03:23] 股價就飆升了19%,市值達到了2.1兆美元,
[03:29] 未來的估值是超過了7.1兆。
[03:34] 目前的市值已經超過了伯通。
[03:37] Tesla成為美國市值第六大的上市公司,
[03:41] 基本上它除了新面賺錢之外,其他都還是賠錢的。
[03:47] 而AI到目前為止還有一個問題,
[03:52] 除了SpaceX之外,我們剛才談到OpenAI和Anthropic,
[03:57] 他們都面臨了一個降價的壓力。
[04:01] 他們面臨的降價壓力主要的原因是
[04:05] 他們開發出了DeepSec和阿里巴巴等等。
[04:08] 所以各大企業跟新創公司他們覺得AI費用實在是太高了,
[04:12] 要求他們降價,不降價他們就要去買DeepSec或是阿里巴巴等等。
[04:19] 而昨天美國整個華爾街全部都在看SpaceX,
[04:24] 在禮拜五的時候,禮拜五美國晚上的時刻,
[04:28] 全部都在看SpaceX的IPO,然後也都在等待。
[04:32] 這情形很像Drama一樣,這是美國史上最大的IPO,
[04:37] 每股定價135美元。
[04:40] 投資人很多人說這根本不可能是個空的公司,
[04:45] 但大多數都是要要一試,超過了4倍。
[04:54] 而亞洲的散戶只有日本被允許,
[04:58] 日本被允許參與SpaceX,他融資了22億美元。
[05:03] 而Anthropic和OpenAI,我剛才也提到他們也在申請IPO,
[05:07] 所以這是華爾街的AI大戰。
[05:10] 那AI這三巨頭上市案高盛,
[05:15] 摩根斯丹利全拿成為最大的贏家,
[05:18] 所以他們的客戶很多人這次參與,
[05:21] 一參與就賺到了非常多錢。
[05:24] Anthropic本身有一個問題,
[05:26] 他們說它的組織急速的貶貧化,
[05:30] 執行長只拐挾一個幕僚,
[05:33] 所以這種公司跟我們想像中的公司不太一樣,
[05:36] 要不要信賴它值得觀察。
[05:38] 第二個是OpenAI的Sam Altman本身,
[05:41] 這家公司面臨非常多的官司,
[05:44] 而官司直接告的都是Sam Altman。
[05:47] 有的人說有一些很厲害的一些AI公司,
[05:52] 它的執行長當時整個模型也是它寫出來了,
[05:57] 半年來只寫出了一個模型,
[06:00] 所以這些AI公司本身你可以把它當成
[06:03] 像19世紀比如說當時的鐵路公司,
[06:07] 那個鐵路公司剛開始的時候,
