[00:00] 歡迎收看今天《文倩的世界》財經週報。
[00:22] 今年剛應屆畢業的學生們,他們可能是二十世紀以來,
[00:28] 除了1929年,除了2008年之外,最失落的畢業生,
[00:36] 他們的名稱叫做AI畢業生,因為他們一畢業,
[00:41] 很可能面臨的是失業。
[00:45] 當他們走進大學的時候,並沒有想到AI的世界會來得這麼快。
[00:50] 所以他到底是畢業了呢,還是失業呢?
[00:54] 過去四年,他在高中也好,高中的美國學生是很多的,
[00:59] 在大學也好,他在高中也好,他有把AI學習好嗎?
[01:04] 如果他以為可以慢慢地學,他可能一畢業就是失業了。
[01:10] 美國應屆的畢業生,現在失業率5.5%根據調查,
[01:15] 高於全國美國的平均。
[01:18] 而人工智慧也改變了職場的生態。
[01:22] 不只是說你的工作可能被AI取代,
[01:25] 校園裡頭普遍沒有足夠的AI課程,這一點台灣非常非常嚴重。
[01:33] 可能大學還好,比較好的大學,但是技職學校非常需要AI。
[01:39] 技職學校有沒有足夠的AI課程呢?
[01:43] 美國更是有很多小學開始,就有Romart課程,就有AI的課程,
[01:49] 甚至很窮的地區的學校還被當地的市政府或是州政府挑選為翻轉教育的學校,
[01:59] 就是為了AI,不要讓他們一開始就輸在旗袍點上面。
[02:05] 而台灣的縣市首長很快就要選舉了。
[02:09] 我很想請問台灣的各縣市首長,
[02:12] 你們所同管的縣市裡頭有多少的AI中小學?
[02:18] 技職學校,尤其是你可以影響的中小學。
[02:23] 所以整個AI的人工智慧所改變的情況,其實是現在掌握權力的人需要給他們的。
[02:32] 而在一場畢業典禮之詞,通常人們在下面就是歡呼啊、高興啊,
[02:37] 然後請一些重要的人來演講啊,
[02:39] 現在演講他們當然都會請一些懂AI的人來談工業革命,
[02:44] 結果談到一半下面的學生氣死了,就把他倒採徐申。
[02:49] 為什麼?你越說我越害怕,你越說就越告訴我,我即將失業。
[02:54] 你們這些偉大的人,你們發明了偉大的AI,或者是你們成為AI的精英,
[02:59] 然後你們將有很大的收入,然後我呢,I have no choice,
[03:03] 因為我過去的學校我所受到的訓練沒有足夠的課程。
[03:07] 所以專家提醒,AI不是威脅而已,對未來保持開放,
[03:13] 不要盲目否定,然後學習很多事情,那它也不是唯一焦慮的來源,
[03:20] 而是某一個程度來說,你必須一定程度理到,理解它,
[03:25] 然後不要把流行的趨勢當成質愛的保證。
[03:29] 美國5月份新增了17.2萬份的就業機會,
[03:34] 那整個大多數都是來自於AI的產業。
[03:39] 這裡頭有一個很重要的是台灣非常擅長的叫做技藝,
[03:43] 就是我們過去所講的工專,然後後來就變成技術學校,
[03:47] 那這些技術學校的技藝,他們認為比AI更重要,
[03:52] 技術的技,藝術的藝,不可取代的專業能力才是保障,
[03:57] 甚至比你會寫AI語言模型來得更重要。
[04:02] 22歲的Michael Macaluso剛剛學了他的學位在機械工程學院,
[04:07] 在大學的 Connecticut,
[04:09] 但這次他又回家幫忙管理他的家鄉的浴池。
[04:13] 他在他在工程學院上找不到工作,
[04:15] 雖然他在200個職位上都沒找到工作。
[04:18] 你學校時有什麼期望對於工作市場的改變?
[04:23] 我被很多人說,我會找到工作,
[04:27] 我會找到工作,然後突然就沒有工作了。
[04:31] 美國的應屆大學畢業生正面臨著多年來最艱難的就業市場之一。
[04:38] 根據統計,22至27歲的應屆畢業生,
[04:42] 失業率超過5.5%,
[04:45] 此比例甚至高於全國平均的失業率。
[05:19] 他們用到最強的工具,
[05:22] 這會造成很大的差別。
[05:25] 但如果他們用錯了,這會縮短他們的學習過程。
[05:29] 於是在某些大學院校的畢業典禮上,
[05:32] 出現了這樣的情況。
[05:35] 在去年12月,《時代》選了2025年生物年份,
[05:41] 這次是藝術家建築師。
[05:45] 有趣。
[05:49] 藝術家建築的發展是下一場工廠大革命。
[06:06] AI在我們坐下來時,在重新製作。
[06:11] 我知道了,處理它吧。
[06:13] 像我說的,它是一種工具。
[06:17] 畢業本應是充滿無限可能的時刻。
[06:21] 但台下的畢業生被告知,
[06:23] 人工智慧時代的到來將可能使他們變得多餘。
[06:28] 虛聲反應的正是他們的不安。
[06:32] 工程的失業過程現在非常工智力,
[06:36] 變成了數碼化的,
[06:38] 而且很孤獨。
[06:39] 找工作時總是很緊張。
[06:42] 但這些年輕人從巨大的
[06:45] 職業項目通往巨大的職業項目。
[06:49] 他們看到這些名單,
[06:51] 可能是神明名單,
[06:53] 即是他們還會否代表真正的工作。
[06:55] 有些人被AI面試,
[06:59] 而不是真正的工人面試。
[07:02] 他們正在進入工作坊,
[07:05] 正如我們所想,
[07:06] 並在無法遇見。
[07:09] 他們說這是一個
[07:11] 不安的,
[07:12] 不安的經歷。
[07:14] 所以這並沒有讓我感到驚訝。
[07:30] 我讀高中時,
[07:31] 我學習的是日本話。
[07:32] 我們被說,
[07:34] 日本人將會超越世界經濟,
[07:37] 我們將會成為失敗,
[07:39] 如果我們不成為日本人。
[07:41] 這就令到日本的
[07:43] 經濟市場
[07:44] 30年後被廣泛地延伸。
[07:46] 然後最常見的
[07:48] 是我們需要學習生物,
[07:50] 然後是蜜糖,
[07:52] 然後是碳酸。
[07:54] 這些都是很好的追求。
[07:56] 如果這是你最愛的,
[07:57] 當然你應該去學習。
[08:07] 我們需要對當前的主流觀點
[08:10] 保持警惕,
[08:11] 但也別對未來的發展
[08:13] 過於篤定,
[08:14] 因為沒有人能夠明確保證
[08:17] 接下來會發生什麼事。
[08:37] 如果看整體就業市場,
[08:39] 情況也不是全面崩壞,
[08:42] 美國最新公布的統計數字,
[08:44] 失業率維持在4.3%,
[08:47] 但5月新增17.2萬個就業崗位。
[08:51] 這個數字,
[08:52] 雖然是一個很大的數字,
[08:54] 但也不一定是最大的數字。
[08:56] 我們也希望能夠
[08:58] 讓我們能夠
[09:00] 讓我們能夠
[09:02] 讓我們能夠
[09:05] 就業崗位。
[09:06] 這個數字令外界驚訝,
[09:08] 因為比外界預期高出許多,
[09:11] 且這也是連續三個月來
[09:14] 維持增長的態勢。
[09:35] AI只是工具之一,
[09:37] 而學習專業技能才是重點。
[10:04] 這一個,
[10:05] 做法、寫菜、教學都可以是一種工具。
[10:09] 工具是你經過一段長時間
[10:12] 才能做到的東西,
[10:13] 並不是很快速的。
[10:15] 但當你擁有它,
[10:17] 它能夠保護你
[10:19] 從在市場上
[10:21] 可以操作到的
[10:23] 或是可以分辨的。
[10:25] 正處於人工智慧蓬勃
[10:27] 發展核心的亞馬遜雲端運算公司
[10:30] 執行長麥特加曼這麼說。
[10:48] AI是否帶來就業末製?
[10:50] 答案未必在科技本身,
[10:52] 而是能不能把AI變成工具,
[10:55] 磨練出真正不可取代的記憶。
[11:22] 在海景第一排的房子,
[11:24] 如果你沒有思考清楚
[11:26] 它到底是讓你欣賞海
[11:28] 還是讓你去掉到海底裡頭去,
[11:30] 這是一線之間。
[11:32] 位於大陸的海底,
[11:34] 海底的海底是最好的。
[11:36] 在海底的海底,
[11:38] 海底的海底是最好的。
[11:40] 在海底的海底,
[11:42] 海底的海底是最好的。
[11:44] 在海底的海底,
[11:46] 海底的海底是最好的。
[11:48] 在海底的海底,
[11:51] 位於洛杉磯南方的藍橋帕蒂斯,
[11:54] 在過去五十多年來,
[11:56] 是美國加州知名的富裕沿海城市。
[11:59] 一棟棟豪宅處立在陡峭的懸崖邊,
[12:03] 海天一色盡收眼底。
[12:06] 然而這些要價動輒上億台幣的豪宅,
[12:09] 近四年來,
[12:11] 因為滑坡問題惡化,
[12:13] 加速朝著下方的太平洋移動,
[12:16] 房價也一落千丈。
[12:20] 因為他們不想跟土地的問題有關,
[12:22] 房子也很嚴重地崩潰,
[12:24] 這很嚴重。
[12:50] 在海底的海底,
[12:52] 位於藍橋帕蒂斯的海底,
[12:55] 位於藍橋帕蒂斯的海底,
[12:58] 在過去五十多年來,
[13:01] 是美國加州知名的富裕沿海城市。
[13:05] 在過去五十多年來,
[13:07] 因為房價很嚴重地崩潰,
[13:10] 近四年來,
[13:12] 因為房價很嚴重地崩潰,
[13:15] 位於藍橋帕蒂斯的海底,
[13:17] 在一個在海中的冰島上
[13:18] 如果你在一個在海中的冰島上
[13:20] 在那邊動動
[13:21] 就沒事了
[13:22] 你可以在海中浮動
[13:24] 人生就大了
[13:25] 但你會看到沒有大影響
[13:28] 這種人與土地的和平共處
[13:31] 在1956年劃下句點
[13:33] 一項道路工程
[13:34] 引動部分滑坡層
[13:36] 之後就不時出現大規模的滑動
[13:40] 而到了2023和2024年
[13:42] 連續兩年異常的強降雨
[13:45] 更導致半島上
[13:46] 一些原本未受影響的地區
[13:49] 開始加速滑動
[13:50] 甚至暴露出一片700英畝的滑坡
[13:54] 面積幾乎是之前估計的兩倍
[13:58] 葡萄牙灣社區就是種栽區
[14:01] 這裡不同於其他豪宅社區
[14:03] 保留獨特的鄉村風貌
[14:06] 自1980年代起
[14:08] 吸引不少專業及藝術人士定居
[14:12] 2023年10月
[14:13] 豪雨不斷引發滑坡鬆動
[14:16] 讓這個原本宛如田園化的社區
[14:19] 完全變了樣
[14:21] 四處可見道路損毀
[14:22] 管線裸露
[14:24] 仿佛倒塌
[14:25] 這是不可能的
[14:27] 沒有人知道要做什麼
[14:30] 我認為是
[14:32] 你做什麼
[14:33] 我們坐在一個碳塊上
[14:36] 我們不能去修理什麼
[14:38] 因為地面繼續移動
[14:41] 地質學家警告
[14:43] 滑坡一旦動起來就很難停下來
[14:46] 災情開始層出不窮
[14:49] 自2024年夏天起
[14:51] 公用事業公司以安全為由
[14:53] 陸續切斷葡萄牙灣部分地區的
[14:56] 天然氣和電力供應
[14:59] 加州州長紐森隨即宣布
[15:02] 藍橋帕蒂斯市進入緊急狀態
[15:05] 面對艱困的生活條件
[15:07] 有人搬家離開
[15:09] 但也有很多人只能留下
[15:12] 所有人都要理解
[15:14] 在藍橋帕蒂斯市的人
[15:16] 永遠都富有
[15:18] 這並非我所想的事
[15:20] 所以我根本不知道要去哪裡
[15:24] 針對含水量極高的滑坡
[15:27] 地質學家表示
[15:28] 有效的減速方式就是排水
[15:31] 我們有很多
[15:33] 經過多年來的
[15:35] 經過多年來的
[15:37] 成功排水的部分
[15:40] 這些地面
[15:42] 《紐約時報》去年2月追蹤
[15:44] 市政府已投注3千5百多萬美元
[15:47] 安裝11口井
[15:48] 抽取1.45億加侖地下水
[15:52] 努力抽水再加上降雨量減少
[15:54] 終於讓滑坡速度
[15:56] 每個月減緩約3%
[15:59] 不過面對斷電及天然氣斷供
[16:02] 民眾只能自力救濟
[16:04] 短期修正
[16:06] 他們在購買電子機器
[16:08] 有些人在安裝更多的
[16:10] 燈籠和電子電源
[16:13] 以充電
[16:16] 在2024年災情最嚴重時
[16:19] 市政府甚至向馬斯克求助
